N	D	L	T1	DR1	T2	DR2	T3	DR3	 T4	DR4	Tm	DRm
16	2.4	0	300.069	0.6478	300.328	3.0798	301.272	11.943	302.346	22.028	301.00375	9.4248
16	3	0	300.045	0.4225	300.174	1.6338	300.555	5.2112	300.965	9.061	300.43475	4.0821
16	3.235	0	0	0	0	0	0	0	0	0	0	3.0
16	3.6	0	300.033	0.3098	300.092	0.8638	300.263	2.4694	300.47	4.4131	300.2145	2.014
16	1 	4	300.124	1.164319249	301.348	12.657277	300.774	7.267605634	300.115	1.079812207	300.59025	5.542253521
16	1.4	4	300.03671	0.3446948357	300.367	3.44600939	300.9324	8.754929577	300.1717	1.612206573	300.3769525	3.539460094
16	1.75 	2.7	300.098	0.9201877934	300.449	4.215962441	300.671	6.300469484	300.188	1.765258216	300.3515	3.300469484
16 	1.85	2.7	300.0797	0.7483568075	300.3823	3.589671362	300.6221	5.841314554	300.1889	1.77370892	300.31825	3.08
16	2.5	1.3	300.349	3.276995305	300.737	6.920187793	301.097	10.30046948	300.874	8.20657277	300.76425	3.2292252
16	2.7	1.3	300.349	3.276995305	300.737	6.920187793	301.097	10.30046948	300.874	8.20657277	300.76425	1.983
