N	D	L	T1	DR1	T2	DR2	T3	DR3	T4	DR4	T5	DR5	Tm	DRm
20	4.2	0.	300.100397	0.9426948357	300.17581	1.650798122	300.350026	3.286629108	300.765389	7.186751174	301.276178	11.98289202	300.53356	5.009953052
20	4.4	0.	300.0311	0.2920187793	300.0561	0.5267605634	300.1937	1.818779343	300.5395	5.0657277	300.8443	7.927699531	300.33294	3.126197183
20	4.3	0.	300.03397	0.3189671362	300.06671	0.6263849765	300.2145	2.014084507	300.5656	5.310798122	300.9684	9.092957746	300.369836	3.472638498
20	3.0	2	300.1429	1.341784038	300.2933	2.75399061	300.6592	6.189671362	300.6422	6.030046948	300.263	2.469483568	300.40012	3.756995305
20	3.1	2	300.0894	0.8394366197	300.2162	2.030046948	300.535	5.023474178	300.5679	5.332394366	300.2594	2.435680751	300.33358	3.132206573
20	3.15	2	300.101	0.9483568075	300.2131	2.000938967	300.4984	4.679812207	300.5572	5.231924883	300.2828	2.655399061	300.3305	3.103286385
20	2.25 	3.9	300.1377	1.292957746	300.3907	3.668544601	300.9469	8.891079812	300.5463	5.129577465	300.1383	1.298591549	300.43198	4.0561502351
20	2.35	3.9	300.1097	1.030046948	300.2557	2.400938967	300.5962	5.598122066	300.4202	3.945539906	300.1397	1.311737089	300.3043	2.857276995
20	2.0	5	300.1468	1.378403756	300.2467	2.316431925	300.5753	5.401877934	300.3757	3.527699531	300.08453	0.7937089202	300.285806	2.683624413
20	1.9	5	300.3187	2.992488263	300.458	4.300469484	300.8912	8.368075117	300.5859	5.501408451	300.1688	1.584976526	300.48452	4.549483568
