N	D	L	T1	DR1	T2	DR2	T3	DR3 	T4	DR4	T5	DR5	T6	DR6	Tm	DRm
22	1.4	6	300.3709	3.482629108	300.8583	8.05915493	301.701	15.97183099	300.8344	7.834741784	300.168	1.577464789	300.1053	0.9887323944	300.6729833	6.319092332
22	2.2	6	300.0245	0.2300469484	300.00619	0.05812206573	300.025	0.234741784	300.08861	0.8320187793	300.0824	0.7737089202	300.014	0.1314553991	300.0401167	0.3766823161
22 	2.6	4	300.1068	1.002816901	300.1359	1.276056338	300.3588	3.369014085	300.5233	4.913615023	300.2299	2.158685446	300.0917	0.8610328639	300.2410667	2.263536776
22	2.4	 4 	300.2622	2.461971831	300.4039	3.792488263	300.8313	7.805633803	300.782	7.342723005	300.2854	2.679812207	300.1435	1.34741784	300.4513833	4.238341158
22	3.5	2	300.222	2.084507042	300.2446	2.296713615	300.4585	4.305164319	300.7023	6.594366197	300.612	5.746478873	300.4387	4.119248826	300.44635	4.191079812
22	4.1	2	300.0188	0.1765258216	300.00326	0.03061032864	300.00968	0.09089201878	300.0438	0.4112676056	300.2615	2.455399061	300.7166	6.728638498	300.1756067	1.648888889
22	2.4	0	0.093	0.8732394366	300.373	3.502347418	301.401	13.15492958	303.163	29.69953052	305.062	47.53051643	305.781	54.28169014	302.6455	24.84037559
22	3.6	0	0.042	0.3943661972	300.15	1.408450704	300.469	4.403755869	301.024	9.615023474	301.605	15.07042254	301.559	14.63849765	300.8081667	7.588419405
22	4.086	0	0.093	0.8732394366	300.373	3.502347418	301.401	13.15492958	303.163	29.69953052	305.062	47.53051643	305.781	54.28169014	302.6455	0 
22	4.8	0	0.029	0.2723004695	300.064	0.6009389671	300.154	1.44600939	300.306	2.873239437	300.523	4.910798122	300.75	7.042253521	300.3043333	2.857589984
